log_id,target_file,issue_type,row_key,column,original_value,new_value,notes
DQ-000001,hcp.csv,missing_sub_specialty,hcp_id=1835878442,sub_specialty,obesity medicine,,set to NULL
DQ-000002,hcp.csv,missing_sub_specialty,hcp_id=1842420535,sub_specialty,adolescent medicine,,set to NULL
DQ-000003,hcp.csv,missing_sub_specialty,hcp_id=1169238601,sub_specialty,structural heart,,set to NULL
DQ-000004,hcp.csv,missing_sub_specialty,hcp_id=1249657408,sub_specialty,bone & mineral,,set to NULL
DQ-000005,hcp.csv,missing_sub_specialty,hcp_id=1937526600,sub_specialty,melanoma/skin,,set to NULL
DQ-000006,hcp.csv,missing_sub_specialty,hcp_id=1806707737,sub_specialty,internal medicine,,set to NULL
DQ-000007,hcp.csv,missing_sub_specialty,hcp_id=1718275724,sub_specialty,neuromuscular,,set to NULL
DQ-000008,hcp.csv,missing_sub_specialty,hcp_id=1361620622,sub_specialty,structural heart,,set to NULL
DQ-000009,hcp.csv,missing_sub_specialty,hcp_id=1803502636,sub_specialty,reproductive endocrinology,,set to NULL
DQ-000010,hcp.csv,missing_sub_specialty,hcp_id=1903521262,sub_specialty,breast,,set to NULL
DQ-000011,hcp.csv,missing_sub_specialty,hcp_id=1237956572,sub_specialty,diabetes,,set to NULL
DQ-000012,hcp.csv,missing_sub_specialty,hcp_id=1968209027,sub_specialty,psoriatic arthritis,,set to NULL
DQ-000013,hcp.csv,missing_sub_specialty,hcp_id=1079997809,sub_specialty,structural heart,,set to NULL
DQ-000014,hcp.csv,missing_sub_specialty,hcp_id=1599978586,sub_specialty,structural heart,,set to NULL
DQ-000015,hcp.csv,missing_sub_specialty,hcp_id=1836939912,sub_specialty,multiple sclerosis,,set to NULL
DQ-000016,hcp.csv,missing_sub_specialty,hcp_id=1078096579,sub_specialty,preventive,,set to NULL
DQ-000017,hcp.csv,missing_sub_specialty,hcp_id=1873780039,sub_specialty,adolescent medicine,,set to NULL
DQ-000018,hcp.csv,missing_sub_specialty,hcp_id=1983357579,sub_specialty,sleep medicine,,set to NULL
DQ-000019,hcp.csv,missing_sub_specialty,hcp_id=1237205202,sub_specialty,thyroid,,set to NULL
DQ-000020,hcp.csv,missing_sub_specialty,hcp_id=1377956168,sub_specialty,copd,,set to NULL
DQ-000021,hcp.csv,missing_sub_specialty,hcp_id=1026926489,sub_specialty,multiple sclerosis,,set to NULL
DQ-000022,hcp.csv,missing_sub_specialty,hcp_id=1321405205,sub_specialty,urgent care,,set to NULL
DQ-000023,hcp.csv,missing_sub_specialty,hcp_id=1216575070,sub_specialty,urgent care,,set to NULL
DQ-000024,hcp.csv,missing_sub_specialty,hcp_id=1332369119,sub_specialty,interventional,,set to NULL
DQ-000025,hcp.csv,missing_sub_specialty,hcp_id=1190411649,sub_specialty,headache,,set to NULL
DQ-000026,hcp.csv,missing_sub_specialty,hcp_id=1334793308,sub_specialty,multiple sclerosis,,set to NULL
DQ-000027,hcp.csv,missing_sub_specialty,hcp_id=1808310134,sub_specialty,osteoarthritis,,set to NULL
DQ-000028,hcp.csv,missing_sub_specialty,hcp_id=1232787030,sub_specialty,osteoarthritis,,set to NULL
DQ-000029,hcp.csv,missing_sub_specialty,hcp_id=1291534000,sub_specialty,interventional,,set to NULL
DQ-000030,hcp.csv,missing_sub_specialty,hcp_id=1993874985,sub_specialty,osteoarthritis,,set to NULL
DQ-000031,hcp.csv,missing_sub_specialty,hcp_id=1665478461,sub_specialty,geriatrics,,set to NULL
DQ-000032,hcp.csv,missing_sub_specialty,hcp_id=1069143851,sub_specialty,structural heart,,set to NULL
DQ-000033,hcp.csv,missing_sub_specialty,hcp_id=1407931751,sub_specialty,hematologic,,set to NULL
DQ-000034,hcp.csv,missing_sub_specialty,hcp_id=1594739314,sub_specialty,movement disorders,,set to NULL
DQ-000035,hcp.csv,missing_sub_specialty,hcp_id=1075036339,sub_specialty,copd,,set to NULL
DQ-000036,hcp.csv,missing_sub_specialty,hcp_id=1306006622,sub_specialty,preventive,,set to NULL
DQ-000037,hcp.csv,region_naming_variant,hcp_id=1641859123,region,West,Western,canonical='West'; see REGION_ALIAS_LOOKUP
DQ-000038,hcp.csv,region_naming_variant,hcp_id=1670701188,region,Southeast,SE,canonical='Southeast'; see REGION_ALIAS_LOOKUP
DQ-000039,hcp.csv,region_naming_variant,hcp_id=1273912869,region,Northeast,NORTHEAST,canonical='Northeast'; see REGION_ALIAS_LOOKUP
DQ-000040,hcp.csv,region_naming_variant,hcp_id=1078164070,region,Southwest,SOUTHWEST,canonical='Southwest'; see REGION_ALIAS_LOOKUP
DQ-000041,hcp.csv,region_naming_variant,hcp_id=1841542198,region,Midwest,MW,canonical='Midwest'; see REGION_ALIAS_LOOKUP
DQ-000042,hcp.csv,region_naming_variant,hcp_id=1772776476,region,West,Western,canonical='West'; see REGION_ALIAS_LOOKUP
DQ-000043,hcp.csv,region_naming_variant,hcp_id=1878312481,region,Midwest,Mid-West,canonical='Midwest'; see REGION_ALIAS_LOOKUP
DQ-000044,hcp.csv,region_naming_variant,hcp_id=1189244753,region,Northeast,NE,canonical='Northeast'; see REGION_ALIAS_LOOKUP
DQ-000045,hcp.csv,region_naming_variant,hcp_id=1095200048,region,Midwest,MW,canonical='Midwest'; see REGION_ALIAS_LOOKUP
DQ-000046,hcp.csv,region_naming_variant,hcp_id=1448589550,region,Southeast,S.E.,canonical='Southeast'; see REGION_ALIAS_LOOKUP
DQ-000047,hcp.csv,region_naming_variant,hcp_id=1413202163,region,Midwest,MIDWEST,canonical='Midwest'; see REGION_ALIAS_LOOKUP
DQ-000048,hcp.csv,region_naming_variant,hcp_id=1618334340,region,West,west coast,canonical='West'; see REGION_ALIAS_LOOKUP
DQ-000049,hcp.csv,region_naming_variant,hcp_id=1455101661,region,Southeast,SOUTHEAST,canonical='Southeast'; see REGION_ALIAS_LOOKUP
DQ-000050,hcp.csv,region_naming_variant,hcp_id=1486382629,region,Northeast,NE,canonical='Northeast'; see REGION_ALIAS_LOOKUP
DQ-000051,hcp.csv,region_naming_variant,hcp_id=1881781243,region,Midwest,mid west,canonical='Midwest'; see REGION_ALIAS_LOOKUP
DQ-000052,hcp.csv,region_naming_variant,hcp_id=1722502113,region,Southwest,SOUTHWEST,canonical='Southwest'; see REGION_ALIAS_LOOKUP
DQ-000053,hcp.csv,region_naming_variant,hcp_id=1999506508,region,Southwest,south west,canonical='Southwest'; see REGION_ALIAS_LOOKUP
DQ-000054,hcp.csv,region_naming_variant,hcp_id=1103232447,region,Southwest,SOUTHWEST,canonical='Southwest'; see REGION_ALIAS_LOOKUP
DQ-000055,hcp.csv,region_naming_variant,hcp_id=1133130363,region,Northeast,N.E.,canonical='Northeast'; see REGION_ALIAS_LOOKUP
DQ-000056,hcp.csv,region_naming_variant,hcp_id=1646133078,region,West,west coast,canonical='West'; see REGION_ALIAS_LOOKUP
DQ-000057,hcp.csv,region_naming_variant,hcp_id=1724088210,region,Southwest,SW,canonical='Southwest'; see REGION_ALIAS_LOOKUP
DQ-000058,hcp.csv,region_naming_variant,hcp_id=1300832031,region,West,W,canonical='West'; see REGION_ALIAS_LOOKUP
DQ-000059,hcp.csv,region_naming_variant,hcp_id=1000748156,region,West,Western,canonical='West'; see REGION_ALIAS_LOOKUP
DQ-000060,hcp.csv,region_naming_variant,hcp_id=1656483868,region,Midwest,MIDWEST,canonical='Midwest'; see REGION_ALIAS_LOOKUP
