hcp_id,name,specialty,sub_specialty,region,state,city,years_in_practice,practice_setting,patient_volume_monthly,baseline_rx_volume_monthly,speaker_eligible_flag,npi_taxonomy_code
1000748156,James Sharp,primary care,geriatrics,West,CO,Boulder,26,private,532,972,True,207Q00000X
1001056401,Linda Morrison,oncology,breast,Midwest,IL,Peoria,10,hospital,234,757,False,207RX0202X
1001999733,Rachel James,neurology,movement disorders,West,CO,Colorado Springs,4,private,122,178,False,2084N0400X
1002145427,Shannon Wilson,primary care,geriatrics,Northeast,NJ,Jersey City,13,hospital,297,737,False,207Q00000X
1004478891,Lisa Fuentes,rheumatology,vasculitis,Southwest,TX,Austin,8,private,138,218,False,207RR0500X
1004543439,Melissa Roberts,endocrinology,diabetes,Southwest,TX,Fort Worth,11,private,156,426,False,207RE0101X
1005067453,Phyllis Lane,endocrinology,thyroid,West,UT,Salt Lake City,8,private,238,366,False,207RE0101X
1009179924,William Parker,cardiology,electrophysiology,West,CA,Los Angeles,10,private,345,578,False,207RC0000X
1009335344,Frank Morris,oncology,genitourinary,Midwest,MI,Grand Rapids,24,academic,123,635,True,207RX0202X
1010852790,Kevin Mullen,rheumatology,rheumatoid arthritis,Southwest,OK,Tulsa,14,private,160,558,False,207RR0500X
1010957193,Brandon Gutierrez,neurology,stroke,Northeast,MA,Springfield,15,private,100,622,False,2084N0400X
1011940271,Robert Hester,endocrinology,bone & mineral,Northeast,NJ,Princeton,7,private,143,423,False,207RE0101X
1012264374,Shelby Reed,endocrinology,bone & mineral,Southwest,NV,Reno,16,academic,175,898,False,207R-E0101-X
1012597443,William Gordon,neurology,headache,West,WA,Tacoma,14,private,117,277,False,2084N0400X
1013443506,Laurie Carr,rheumatology,osteoarthritis,West,WA,Spokane,6,private,176,192,False,207RR0500X
1015191335,Tanya Fox,cardiology,interventional,Northeast,NJ,Camden,17,academic,109,412,False,207RC0000X
1015632783,Leslie Wright,oncology,melanoma/skin,West,OR,Portland,26,hospital,159,263,False,207RX0202X
1016162897,Martin Green,cardiology,heart failure,West,WA,Spokane,24,academic,167,281,False,207RC0000X
1018018261,Christopher Stokes,primary care,adolescent medicine,Northeast,NJ,Newark,13,private,360,679,False,207Q00000X
1018861793,Michelle Turner,oncology,melanoma/skin,Northeast,MA,Springfield,11,private,136,266,False,207RX0202X
1019230758,Paul Norton,neurology,movement disorders,Southwest,NV,Reno,25,private,185,372,True,2084N0400X
1020829465,Jeffrey Briggs,oncology,thoracic,West,CO,Colorado Springs,31,academic,125,374,True,207RX0202X
1020833996,Heather James,neurology,headache,Midwest,IN,South Bend,7,hospital,155,299,False,2084N0400X
1021834936,Susan Mejia,oncology,breast,West,CO,Colorado Springs,13,hospital,91,284,False,207RX0202X
1022312734,James Evans,primary care,adolescent medicine,Midwest,MO,Columbia,7,private,231,310,False,207Q00000X
1025231352,Donald Myers,rheumatology,psoriatic arthritis,Northeast,NY,Syracuse,6,hospital,268,589,False,207RR0500X
1025978341,Courtney Landry,endocrinology,obesity medicine,Northeast,CT,Hartford,12,private,189,832,False,207RE0101X
1026722938,Adam Washington,endocrinology,thyroid,Midwest,OH,Toledo,11,academic,256,1071,False,207RE0101X
1026804116,Kristen Johnson,oncology,gi malignancies,Southwest,TX,Dallas,16,private,157,805,True,207RX0202X
1026926489,Benjamin Hart,neurology,movement disorders,Southeast,FL,Tampa,9,hospital,216,630,False,2084N0400X
1028050239,Yolanda Robertson,cardiology,preventive,West,UT,Provo,14,private,217,425,False,207RC0000X
1028436479,Diana Shaw,endocrinology,diabetes,Southwest,NV,Las Vegas,15,hospital,180,502,False,207RE0101X
1028772501,Eric Porter,neurology,neuromuscular,Midwest,MI,Detroit,21,private,218,503,True,2084N0400X
1030235620,Kristin Miller,pulmonology,sleep medicine,West,CA,Los Angeles,22,hospital,211,394,False,207RP1001X
1031568581,Tamara Wright,pulmonology,copd,Southeast,TN,Chattanooga,5,private,301,554,False,207RP1001X
1031907094,Megan Sandoval,rheumatology,osteoarthritis,West,UT,Salt Lake City,7,hospital,223,435,False,207RR0500X
1033490735,Timothy Wheeler,pulmonology,sleep medicine,West,WA,Spokane,17,private,210,732,True,207RP1001X
1033808027,Molly Anderson,neurology,stroke,Southeast,TN,Knoxville,23,hospital,243,510,True,2084N0400X
1036176265,Jennifer Miller,cardiology,structural heart,Southwest,NV,Las Vegas,8,private,183,650,False,207RC0000X
1036327983,Jennifer Harper,primary care,geriatrics,West,OR,Portland,8,hospital,411,287,False,207Q00000X
1036718538,Christina Singleton,endocrinology,diabetes,Southwest,AZ,Phoenix,15,private,106,339,False,207RE0101X
1038444141,Brian Martin,oncology,breast,Southeast,NC,Durham,11,hospital,185,445,False,207RX0202X
1038582841,Christopher Gonzales,rheumatology,psoriatic arthritis,West,UT,Salt Lake City,13,private,173,447,False,207RR0500X
1040239976,Joanne Schwartz,rheumatology,lupus,Northeast,NY,New York,24,private,185,602,False,207RR0500X
1041494554,William Snyder,pulmonology,copd,Midwest,OH,Columbus,13,private,185,318,False,207RP1001X
1041585906,Shawn Cox,oncology,melanoma/skin,West,OR,Eugene,8,academic,108,331,False,207RX0202X
1041640354,Mary Thomas,cardiology,electrophysiology,Midwest,MI,Detroit,5,academic,202,542,False,207RC0000X
1042224778,Sarah Dominguez,cardiology,preventive,Northeast,NY,Albany,6,private,236,643,False,207RC0000X
1042285084,Susan Dudley,primary care,geriatrics,Southwest,OK,Oklahoma City,14,private,330,1251,True,207Q00000X
1042455315,Karen Ray,endocrinology,reproductive endocrinology,Midwest,OH,Cleveland,18,academic,217,905,True,207RE0101X
1043802820,Kyle Lamb,oncology,genitourinary,Northeast,CT,New Haven,30,academic,89,410,True,207RX0202X
1044303869,Reginald Cummings,oncology,thoracic,Northeast,PA,Allentown,16,hospital,172,554,True,207RX0202X
1044379984,Kelly Hunt,neurology,headache,Midwest,MI,Grand Rapids,9,private,230,447,False,2084N0400X
1044666919,Scott Pena,neurology,multiple sclerosis,Southeast,SC,Greenville,17,hospital,265,441,False,2084N0400X
1045376799,Andrea Garrett,neurology,headache,Northeast,PA,Philadelphia,7,hospital,233,497,False,2084N0400X
1046736322,Jennifer Taylor,primary care,adolescent medicine,Southwest,NV,Reno,24,private,353,567,False,207Q00000X
1047406420,Karen Mccormick,rheumatology,osteoarthritis,Midwest,WI,Milwaukee,15,private,162,260,False,207RR0500X
1048976678,Joshua Matthews,primary care,adolescent medicine,Southeast,FL,Orlando,18,hospital,394,527,False,207Q00000X
1050506165,Gina Rodriguez,pulmonology,critical care,Southeast,NC,Raleigh,6,academic,333,501,False,207RP1001X
1050705288,William Grimes,endocrinology,reproductive endocrinology,Southeast,GA,Atlanta,21,hospital,220,1064,True,207RE0101X
1051073538,Rachael Mitchell,oncology,genitourinary,West,UT,Provo,8,private,133,234,False,207RX0202X
1056679651,John Brown,cardiology,preventive,Northeast,PA,Philadelphia,6,hospital,282,458,False,207RC0000X
1057623450,Jennifer Cain,cardiology,structural heart,Midwest,OH,Toledo,13,private,179,344,False,207RC0000X
1057676243,Mary Palmer,primary care,geriatrics,Southeast,FL,Tampa,11,private,194,505,False,207Q00000X
1058325303,Robert Medina,primary care,adolescent medicine,Northeast,NJ,Princeton,13,private,249,568,False,207Q00000X
1058613039,John Johnson,pulmonology,copd,West,UT,Salt Lake City,10,private,164,413,False,207R-P1001-X
1058647219,Brian Santana,pulmonology,copd,Northeast,NY,Albany,11,academic,306,576,False,207RP1001X
1060922949,Vanessa Valdez,primary care,urgent care,Northeast,NJ,Jersey City,3,hospital,331,249,False,207Q00000X
1061035188,Cynthia Johnson,endocrinology,thyroid,Southeast,FL,Miami,22,private,217,354,False,207RE0101X
1061387373,Anthony Dixon,oncology,thoracic,Southwest,OK,Tulsa,6,private,90,221,False,207RX0202X
1062661164,Christine Li,cardiology,heart failure,Southeast,FL,Tampa,35,academic,202,877,True,207RC0000X
1064190048,William Flores,neurology,movement disorders,Midwest,WI,Green Bay,6,private,138,376,False,2084N0400X
1065091666,Thomas Hopkins,endocrinology,reproductive endocrinology,West,CA,Los Angeles,9,hospital,210,520,False,207RE0101X
1065455036,Mitchell Perry,rheumatology,osteoarthritis,Northeast,NY,Syracuse,13,private,121,424,False,207RR0500X
1065674784,David Cole,oncology,breast,Midwest,MO,St. Louis,20,hospital,133,386,False,207RX0202X
1065870788,Terri Mitchell,primary care,family medicine,Southwest,AZ,Tucson,7,hospital,255,572,False,207Q00000X
1069143851,Spencer Patterson,cardiology,interventional,West,CA,San Francisco,20,hospital,218,517,False,207RC0000X
1071299832,Catherine Kirby,neurology,movement disorders,Northeast,CT,Hartford,17,hospital,170,323,False,2084N0400X
1072999711,Scott Mack,pulmonology,asthma/allergy,West,CA,Palo Alto,19,hospital,249,424,False,207RP1001X
1073902250,Tanya Mendoza,rheumatology,osteoarthritis,West,CO,Boulder,10,hospital,165,617,False,207RR0500X
1074076039,Randy Parsons,cardiology,electrophysiology,Southeast,VA,Charlottesville,12,hospital,215,600,False,207RC0000X
1075036339,Sonia Brown,pulmonology,interstitial lung disease,West,WA,Tacoma,5,hospital,166,329,False,207RP1001X
1075683551,Adam Stone,rheumatology,rheumatoid arthritis,Southeast,TN,Chattanooga,12,private,217,535,False,207RR0500X
1075689749,Christine Matthews,rheumatology,psoriatic arthritis,Southwest,OK,Oklahoma City,12,private,163,735,False,207RR0500X
1075693709,Christian Wood,neurology,headache,West,CO,Colorado Springs,27,hospital,308,1082,True,2084N0400X
1076376403,Karen Hays,endocrinology,obesity medicine,Northeast,MA,Boston,18,private,194,710,True,207RE0101X
1078096579,Charles Daniels,cardiology,interventional,Midwest,MN,Rochester,13,private,253,774,False,207RC0000X
1078164070,Matthew Wright,oncology,hematologic,Southwest,NM,Albuquerque,17,hospital,229,581,True,207RX0202X
1079997809,Christopher Kramer,cardiology,interventional,Southwest,OK,Tulsa,15,private,238,1000,True,207RC0000X
1080136264,Daniel Walker,primary care,geriatrics,Midwest,WI,Green Bay,22,private,488,886,True,207Q00000X
1080672524,Joshua Bird,primary care,urgent care,Southeast,TN,Memphis,10,hospital,311,656,False,207Q00000X
1081031506,Corey Harris,neurology,movement disorders,Southwest,NV,Reno,11,private,119,570,False,2084N0400X
1081051991,Emily Hodge,pulmonology,asthma/allergy,Southwest,TX,Fort Worth,15,hospital,188,317,False,207RP1001X
1081238747,Melissa Novak,pulmonology,interstitial lung disease,Southeast,FL,Tampa,13,hospital,190,494,False,207RP1001X
1081498101,Omar Gordon,endocrinology,reproductive endocrinology,West,OR,Portland,15,private,161,277,False,207RE0101X
1082909627,Jason Ryan,primary care,geriatrics,Southeast,GA,Atlanta,16,private,332,519,False,207Q00000X
1083149777,Laura Diaz,cardiology,structural heart,Midwest,OH,Columbus,11,private,218,519,False,207RC0000X
1083964134,Laura Jacobs,endocrinology,bone & mineral,Southeast,SC,Charleston,27,private,183,795,True,207RE0101X
1084471394,Anthony Scott,primary care,geriatrics,Northeast,MA,Springfield,12,private,191,590,False,207Q00000X
1084919582,Teresa Reed,primary care,family medicine,Southeast,TN,Nashville,12,private,316,652,False,207Q00000X
1085047243,Steven Donovan,neurology,neuromuscular,West,CA,Los Angeles,8,hospital,140,199,False,2084N0400X
1085110611,Brandon Howard,neurology,multiple sclerosis,West,WA,Spokane,18,hospital,215,334,False,2084-N0400-X
1085394942,Dustin Garcia,neurology,movement disorders,Northeast,CT,Stamford,26,academic,179,556,True,2084N0400X
1087671156,Stephanie Friedman,pulmonology,interstitial lung disease,West,CO,Colorado Springs,10,private,185,150,False,207RP1001X
1088938448,Lindsey Brown,oncology,genitourinary,West,CA,San Diego,6,academic,98,315,False,207RX0202X
1094061177,Maria Goodwin,rheumatology,rheumatoid arthritis,Northeast,PA,Pittsburgh,18,hospital,185,761,True,207RR0500X
1094274762,Barbara Bryant,primary care,urgent care,West,UT,Salt Lake City,4,hospital,434,378,False,207Q00000X
1094685637,Daniel Turner,pulmonology,copd,Southwest,NM,Santa Fe,16,hospital,248,714,True,207RP1001X
1095200048,Erica Everett,endocrinology,thyroid,Midwest,IN,Indianapolis,25,private,226,432,False,207RE0101X
1095874958,Bethany Li,neurology,movement disorders,Southeast,FL,Tampa,8,academic,169,474,False,2084N0400X
1098995024,Tami Vaughn,primary care,adolescent medicine,Northeast,PA,Pittsburgh,6,private,286,437,False,207Q00000X
1099946885,Christopher Schmidt,primary care,urgent care,Northeast,CT,Hartford,18,private,241,564,False,207Q00000X
1100495849,Carrie Morgan,endocrinology,thyroid,Southeast,AL,Mobile,8,academic,189,779,False,207RE0101X
1101142523,Cynthia Evans,primary care,urgent care,West,CA,San Francisco,11,private,271,292,False,207Q00000X
1101185407,David Zuniga,primary care,urgent care,Midwest,MI,Lansing,17,hospital,364,713,False,207Q00000X
1101338055,John Andrews,primary care,adolescent medicine,Southeast,SC,Charleston,23,private,234,705,True,207Q00000X
1101495749,Paige Martin,pulmonology,copd,Southeast,GA,Augusta,18,academic,163,540,True,207RP1001X
1102089657,Andrea Reyes,primary care,adolescent medicine,Northeast,CT,New Haven,10,private,173,362,False,207Q00000X
1103232447,Dominique Johnson,neurology,headache,Southwest,AZ,Phoenix,11,private,150,474,False,2084N0400X
1105435741,Loretta Holland,rheumatology,psoriatic arthritis,Northeast,NY,Rochester,8,private,197,394,False,207RR0500X
1107038659,Heather Evans,endocrinology,diabetes,Northeast,NY,New York,10,hospital,402,583,False,207RE0101X
1107378550,Emily Combs,cardiology,electrophysiology,Southeast,SC,Charleston,14,private,254,473,False,207R-C0000-X
1109634414,Ronald Vargas,rheumatology,vasculitis,Northeast,NY,Buffalo,11,private,233,694,False,207RR0500X
1111217703,Eric Wise,oncology,thoracic,Southwest,OK,Oklahoma City,17,private,88,397,False,207RX0202X
1113023042,Ricky Brown,pulmonology,critical care,West,WA,Tacoma,4,private,362,299,False,207RP1001X
1113190601,Robert Ramsey,pulmonology,sleep medicine,West,UT,Salt Lake City,6,private,174,294,False,207RP1001X
1113953065,Donald Garrison,pulmonology,copd,Southeast,AL,Birmingham,11,private,266,615,False,207RP1001X
1114926011,Brian Carlson,cardiology,heart failure,West,OR,Eugene,19,academic,213,907,True,207RC0000X
1117854327,George Rocha,neurology,headache,West,CA,San Francisco,8,hospital,164,219,False,2084N0400X
1120080837,Charles Cox,cardiology,heart failure,Northeast,CT,Hartford,16,private,360,505,False,207RC0000X
1120302413,Kathryn Conley,oncology,hematologic,Southeast,GA,Atlanta,11,academic,113,441,False,207RX0202X
1120344282,Catherine Rodriguez,primary care,geriatrics,West,OR,Eugene,16,hospital,535,1029,True,207Q00000X
1120914548,Rodney Brooks,cardiology,structural heart,West,UT,Salt Lake City,8,hospital,268,596,False,207RC0000X
1121962926,Jane Vargas,rheumatology,rheumatoid arthritis,Northeast,NJ,Jersey City,11,private,159,551,False,207RR0500X
1123148250,Steven Miller,cardiology,preventive,Southwest,TX,Austin,19,hospital,205,632,False,207RC0000X
1123562633,Matthew Rios,oncology,thoracic,Southeast,SC,Charleston,8,private,79,342,False,207RX0202X
1124315999,Andrew Bennett,oncology,hematologic,Northeast,ME,Portland,15,academic,123,281,False,207RX0202X
1124726435,Timothy Martinez,primary care,internal medicine,Northeast,PA,Allentown,14,private,526,914,False,207Q00000X
1124890801,Kathy Lopez,primary care,internal medicine,Northeast,PA,Hershey,15,private,251,748,False,207Q00000X
1124905880,Mark Davidson,rheumatology,psoriatic arthritis,West,CA,Los Angeles,24,hospital,267,1186,True,207RR0500X
1126098163,Mario Hughes,pulmonology,critical care,Southeast,SC,Greenville,24,private,263,563,True,207RP1001X
1128902750,Tanya Nunez,neurology,neuromuscular,West,CA,Sacramento,14,hospital,141,334,False,2084N0400X
1129206672,Carla Yates,pulmonology,interstitial lung disease,Northeast,NJ,Jersey City,27,hospital,184,686,True,207RP1001X
1131525051,Nicole Owen,cardiology,heart failure,West,WA,Spokane,16,private,246,419,False,207RC0000X
1132120993,Angela Miller,cardiology,electrophysiology,Northeast,NJ,Princeton,10,hospital,157,315,False,207RC0000X
1132792726,Jacqueline Oconnell,pulmonology,interstitial lung disease,Southeast,TN,Knoxville,16,hospital,170,383,False,207RP1001X
1133042691,Leah Griffin,cardiology,heart failure,Northeast,MA,Worcester,6,hospital,167,482,False,207RC0000X
1133130363,Kevin Sharp,primary care,geriatrics,Northeast,CT,Hartford,13,hospital,459,614,False,207Q00000X
1133616429,Victoria Weaver,neurology,movement disorders,Midwest,MI,Grand Rapids,10,academic,169,424,False,2084N0400X
1134089733,Kristin Perry,primary care,internal medicine,Northeast,NY,Syracuse,5,private,233,305,False,207Q00000X
1134195944,Stephen Mahoney,cardiology,electrophysiology,Northeast,ME,Portland,14,private,250,772,True,207RC0000X
1134509243,Michele Cole,pulmonology,asthma/allergy,Northeast,CT,Hartford,8,private,297,382,False,207RP1001X
1134632102,Richard Bradley,primary care,family medicine,Southwest,NM,Santa Fe,22,hospital,257,649,False,207Q00000X
1134966757,Katherine Gutierrez,primary care,geriatrics,West,WA,Tacoma,26,private,339,1116,True,207Q00000X
1135650855,Andrea Pacheco,primary care,geriatrics,Midwest,IN,Fort Wayne,17,private,342,530,False,207Q00000X
1135771313,Kyle Madden,neurology,epilepsy,Southeast,TN,Knoxville,14,hospital,260,281,False,2084N0400X
1136500869,Chris Levy,endocrinology,reproductive endocrinology,Southeast,VA,Arlington,18,academic,176,551,False,207RE0101X
1137408567,Anthony Martin,endocrinology,obesity medicine,Northeast,PA,Allentown,10,hospital,433,886,False,207RE0101X
1138208594,Brooke Quinn,cardiology,structural heart,West,WA,Tacoma,4,hospital,198,541,False,207R-C0000-X
1138281740,Keith Brown,primary care,geriatrics,West,UT,Provo,10,academic,337,595,False,207Q00000X
1138662428,Grant Miller,pulmonology,copd,Southeast,VA,Norfolk,21,hospital,257,665,True,207RP1001X
1138794031,Melissa Sanders,pulmonology,sleep medicine,Northeast,MA,Boston,26,academic,238,707,True,207RP1001X
1139166684,Kayla Neal,pulmonology,interstitial lung disease,Midwest,WI,Green Bay,5,hospital,187,413,False,207RP1001X
1140492483,Jonathan Butler,neurology,movement disorders,West,CO,Denver,13,private,135,165,False,2084N0400X
1142840812,Robert Huffman,rheumatology,psoriatic arthritis,Northeast,NJ,Jersey City,42,hospital,225,401,True,207RR0500X
1143739674,Jose Lewis,oncology,thoracic,Midwest,IL,Chicago,13,hospital,157,289,False,207RX0202X
1144669185,Thomas Woods,primary care,internal medicine,Northeast,PA,Allentown,16,private,399,1071,False,207Q00000X
1145899849,Joseph Davis,primary care,family medicine,West,OR,Portland,17,academic,395,640,False,207Q00000X
1147656700,Emily Davis,pulmonology,interstitial lung disease,West,CA,Los Angeles,21,hospital,236,597,True,207RP1001X
1148541752,Robert Webb,endocrinology,diabetes,Southwest,AZ,Scottsdale,9,hospital,312,928,True,207RE0101X
1149018644,Stephen Harper,oncology,thoracic,Southeast,VA,Richmond,15,academic,110,491,False,207RX0202X
1149209672,Lisa Thomas,oncology,gi malignancies,Midwest,WI,Green Bay,8,private,153,352,False,207RX0202X
1149313383,Sonya Rivera,pulmonology,interstitial lung disease,Southeast,GA,Savannah,18,private,192,339,False,207RP1001X
1150502551,Marie Erickson,rheumatology,lupus,Northeast,MA,Springfield,15,hospital,263,622,False,207RR0500X
1152018085,Kimberly James,pulmonology,asthma/allergy,Southeast,AL,Huntsville,6,private,171,498,False,207RP1001X
1154262954,Amy Robinson,primary care,adolescent medicine,Southwest,NV,Las Vegas,28,private,440,911,True,207Q00000X
1154629764,Scott Harris,neurology,multiple sclerosis,Midwest,MN,Rochester,15,hospital,122,258,False,2084N0400X
1156551297,Jenna Baker,rheumatology,osteoarthritis,Northeast,NJ,Newark,12,private,160,303,False,207RR0500X
